"icao","airport"
"","Kimwarer Airport (Kerio Valley Airport)"
"HKKT","Kitale Airport"
"","Kiwayu Airport"
"UAFO","Osh Airport"
"UAFM","Manas International Airport"
"VDSR","Siem Reap International Airport (Angkor Int'l)"
"VDBG","Battambang Airport"
"VDSV","Sihanoukville International Airport (Kaong Kang Airport)"
"VDST","Steung Treng Airport"
"VDKT","Kratie Airport"
"VDPP","Phnom Penh International Airport"
"VDRK","Ratanakiri Airport"
"","Thbeng Meanchey Airport (Preah Vinhear Airport)"
"VDMK","Mondulkiri Airport"
"","Krakor Airport"
"","Kampot Airport"
"VDKK","Koh Kong Airport"
"VDKH","Kampong Chhnang Airport"
"NGKT","Kuria Airport"
"PLCH","Cassidy International Airport"
"NGTA","Bonriki International Airport"
"NGAB","Abaiang Atoll Airport"
"NGTO","Nonouti Airport"
"NGMN","Makin Airport"
"NGMA","Maiana Airport"
"NGON","Onotoa Airport"
"NGTS","Tabiteuea South Airport"
"NGTR","Arorae Island Airport"
"","Tabuaeran Island Airport"
"","Teraina Airport"
"NGTU","Butaritari Atoll Airport"
"PCIS","Canton Island Airport"
"NGBR","Beru Island Airport"
"NGTM","Tamana Airport"
"NGNU","Nikunau Airport"
"NGMK","Marakei Airport"
"NGUK","Aranuka Airport"
"NGTE","Tabiteuea North Airport"
"NGTB","Abemama Atoll Airport"
"FMCI","Moheli Bandar Es Eslam Airport"
"FMCV","Ouani Airport"
"FMCH","Prince Said Ibrahim International Airport"
"FMCN","Iconi Airport"
"TKPN","Vance W. Amory International Airport"
"TKPK","Robert L. Bradshaw International Airport"
"TKPK","Robert L. Bradshaw Airport"
"ZKWS","Wonsan Kalma International Airport"
"ZKSE","Samjiyon Airport"
"ZKUJ","Uiju Airfield"
"ZKHM","Orang Airport"
"ZKSD","Sondok Airport"
"ZKPY","Pyongyang Sunan International Airport"
"RKPD","Jeongseok Airport"
"RKTP","Seosan Air Base"
"RKSW","Suwon Air Base"
"RKJB","Muan International Airport"
"RKTI","Jungwon Air Base"
"RKNN","Gangneung Air Base"
"RKNW","Wonju Airport"
"RKJK","Gunsan Airport"
"RKPU","Ulsan Airport"
"RKNY","Yangyang International Airport"
"RKPE","Jinhae Airport"
"RKJJ","Gwangju Airport"
"RKJU","Jeonju Airport"
"RKTU","Cheongju International Airport"
"RKPC","Jeju International Airport"
"RKSO","Osan Air Base"
"RKTN","Daegu International Airport"
"RKTL","Uljin Airport"
"RKPS","Sacheon Airport"
"RKTH","Pohang Airport"
"RKPK","Gimhae International Airport"
"RKTY","Yecheon Air Base"
"RKJY","Yeosu/Suncheon Airport"
"RKSI","Incheon International Airport"
"OKAJ","Ahmad al-Jaber Air Base"
"OKBK","Kuwait International Airport"
"MWCL","Edward Bodden Airfield"
"MWCB","Charles Kirkconnell International Airport"
"MWCR","Owen Roberts International Airport"
"UATE","Aktau Airport"
"UACP","Petropavl Airport"
"UASS","Semey Airport"
"","Urzhar Airport"
"UATT","Aktobe Airport"
"UAUU","Kostanay Airport"
"UAUR","Arkalyk Airport"
"UAAH","Balkhash Airport"
"UAAR","Boraldai Airport"
"UADD","Taraz Airport (Jambyl Airport)"
"UACK","Kokshetau Airport"
"UASP","Pavlodar Airport"
"","Zhayrem Airport"
"UAOL","Krayniy Airport"
"UAOO","Kyzylorda Airport"
"UAII","Shymkent International Airport"
"UASB","Ekibastuz Airport"
"UAKK","Sary-Arka Airport"
"UASK","Oskemen Airport (Ust-Kamenogorsk Airport)"
"","Taldykorgan Airport"
"UACC","Nursultan Nazarbayev International Airport"
"UATG","Atyrau Airport"
"UAAA","Almaty International Airport"
"UAKD","Zhezkazgan Airport"
"UARR","Oral Ak Zhol Airport"
"","Atbasar Airport"
"","Zaysan Airport"
"UAAL","Usharal Airport"
"VLAP","Attapeu International Airport"
"VLLN","Louang Namtha Airport"
"VLXK","Xieng Khouang Airport"
"VLVT","Wattay International Airport"
"VLHS","Ban Huoeisay Airport"
"VLPS","Pakse International Airport"
"VLOS","Oudomsay Airport"
"VLKG","Khong Island Airport"
"VLLB","Luang Prabang International Airport"
"VLTK","Thakhek Airport"
"VLSB","Sayaboury Airport"
"VLSV","Salavan Airport"
"","Boun Neua Airport"
"VLSN","Nathong Airport"
"VLSK","Savannakhet Airport"
"OLBA","Beirut-Rafic Hariri International Airport / Beirut Air Base"
"OLKA","Rene Mouawad Air Base (Kleyate Airport)"
"TFFG","L'Esperance Airport (Grand Case Airport)"
"TLPC","George F. L. Charles Airport"
"TLPL","Hewanorra International Airport"
"","Bentota River Airport"
"","Victoria Reservoir Seaplane Base"
"VCCH","Hingurakgoda Airport (Minneriya Airport)"
"VCCW","Weerawila Airport"
"","Dutch Bay Seaplane Base"
"VCCK","Koggala Airport"
"","Kondavattavan Tank Seaplane Base"
"","Diyawanna Oya Seaplane Base"
"VCCJ","Jaffna Airport"
"","Dambulu Oya Tank Seaplane Base"
"","Dandugama Seaplane Base"
"VCCC","Ratmalana Airport"
"","Hambantota Sea Plane Base"
"","Castlereigh Reservoir Seaplane Base"
"VCRI","Mattala Rajapaksa International Airport"
"","Iranamadu Waterdrome"
"VCCS","Sigiriya Airport"
"VCCA","Anuradhapura Airport"
"VCCG","Ampara Airport"
"","Gregory Lake Seaplane Base"
"VCCN","Katukurunda Airport"
"VCBI","Bandaranaike International Airport"
"","Arugam Bay Seaplane Base"
"","Mawella Lagoon Seaplane Base"
"VCCB","Batticaloa Airport"
"","Batticaloa Seaplane Base"
"","Kelani River-Peliyagoda Waterdrome"
"VCCT","China Bay Airport"
"","Tissa Tank Waterdrome"
"","Beira Lake Seaplane Base"
"","Trincomalee Harbour Seaplane Base"
"","Polgolla Reservoir Seaplane Base"
"GLGE","Greenville/Sinoe Airport (R.E. Murray Airport)"
"","Grand Cess Airport"
"GLBU","Buchanan Airport"
"GLRB","Roberts International Airport"
"GLMR","Spriggs Payne Airport"
"","Tapeta Airport"
"GLVA","Voinjama Airport (Tenebu Airport)"
"GLNA","Nimba Airport"
"","River Cess Airport"
"GLCP","Cape Palmas Airport"
"GLTN","Tchien Airport"
"","Foya Airport"
"GLST","Sasstown Airport"
"","Bella Yella Airport"
"FXQN","Qacha's Nek Airport"
"FXMF","Mafeteng Airport"
"FXTA","Thaba Tseka Airport"
"FXLS","Lesobeng Airport"
"FXSK","Sekake Airport"
"FXSS","Seshutes Airport"
"FXSH","Sehonghong Airport"
"FXMM","Moshoeshoe I International Airport"
"FXSM","Semonkong Airport"
"FXQG","Quthing Airport"
"FXLK","Lebakeng Airport"
"FXMK","Mokhotlong Airport"
"FXTK","Tlokoeng Airport"
"FXMA","Matsaile Airport"
"FXPG","Pelaneng Airport"
"FXLR","Leribe Airport"
"FXNK","Nkaus Airport"
"EYPA","Palanga International Airport"
"EYPP","Panevezys Air Base (Pajuostis Airport)"
"EYVI","Vilnius Airport"
"EYSA","Siauliai International Airport"
"EYKA","Kaunas International Airport"
"ELLX","Luxembourg Findel Airport"
"EVDA","Daugavpils International Airport"
"EVLA","Liepaja International Airport"
"EVVA","Ventspils International Airport"
"EVRA","Riga International Airport"
"HLNR","Nafoora Airport"
"HLZW","Zuwarah Airport"
"HLLB","Benina International Airport"
"","Martuba Air Base"
"","Brak Airport"
"HLKF","Kufra Airport"
"HLLQ","Al Abraq International Airport"
"HLUB","Ubari Airport"
"HLGD","Gardabya Airport"
"HLLM","Mitiga International Airport"
"HLZN","Zintan Airport"
"HLON","Hun Airport"
"HLGN","Tobruk Airport"
"HLMB","Marsa Brega Airport"
"HLGT","Ghat Airport"
"HLLS","Sabha Airport"
"HLMS","Misrata Airport"
"HLTD","Ghadames Airport"
"HLLT","Tripoli International Airport"
"GMMX","Marrakesh Menara Airport"
"GMMZ","Ouarzazate Airport"
"GMFO","Angads Airport"
"GMMA","Smara Airport"
"GMMC","Anfa Airport"
"GMAZ","Zagora Airport"
"GMFF","Fes-Saiss Airport"
"GMFK","Moulay Ali Cherif Airport"
"GMMN","Mohammed V International Airport"
"","Guelmim Airport"
"GMAT","Tan Tan Airport (Plage Blanche Airport)"
"GMMW","Nador International Airport"
"GMMY","Kenitra Air Base"
"GMMI","Essaouira-Mogador Airport"
"GMTT","Tangier Ibn Battouta Airport"
"GMME","Rabat-Sale Airport"
"GMFB","Bouarfa Airport"
"GMML","Hassan I Airport"
"GMMD","Beni Mellal Airport"
"GMMB","Ben Slimane Airport"
"GMMH","Dakhla Airport"
"GMFM","Bassatine Air Base"
"GMMF","Sidi Ifni Airport (Sania Ramel Airport)"
"GMAD","Agadir-Al Massira Airport"
"","Sania Ramel Airport"
"GMTA","Cherif Al Idrissi Airport"
"GMMS","Safi Airport"
"LUKK","Chisinau International Airport"
"LUBL","Balti International Airport"
"LYPG","Podgorica Airport"
"LYTV","Tivat Airport"
"","Zabljak Airport"
"LYBR","Dolac Airport"
"FMFE","Ambohibary Airport"
"FMMX","Tsiroanomandidy Airport"
"","Andriamena Airport"
"FMMU","Tambohorano Airport"
"","Tsimiroro Airport"
"FMNG","Port Berge Airport"
"FMSU","Vangaindrano Airport"
"FMNC","Mananara Nord Airport"
"","Madirovalo Airport"
"FMNP","Mampikony Airport"
"","Moramba Airport"
"FMSY","Ampanihy Airport"
"FMNR","Maroantsetra Airport"
"","Bemolanga Airport"
"FMMC","Malaimbandy Airport"
"","Ambatomainty Airport"
"FMSC","Mandabe Airport"
"FMNX","Mandritsara Airport"
"FMSL","Bekily Airport"
"","Andavadoaka Airport"
"FMNO","Soalala Airport"
"FMSF","Fianarantsoa Airport"
"","Besakoa Airport"
"FMSB","Antsoa Airport"
"","Ankaizina Airport"
"FMSJ","Manja Airport"
"FMNF","Befandriana Airport"
"FMME","Antsirabe Airport"
"FMMK","Ankavandra Airport"
"FMML","Belo sur Tsiribihina Airport"
"FMMG","Antsalova Airport"
"FMMZ","Ambatondrazaka Airport"
"FMSZ","Ankazoabo Airport"
"FMNW","Ambalabe Airport"
"FMNM","Amborovy Airport (Philibert Tsiranana Airport)"
"FMMH","Mahanoro Airport"
"FMSR","Morombe Airport"
"FMMO","Maintirano Airport"
"FMMY","Vatomandry Airport"
"FMMR","Morafenobe Airport"
"FMNT","Tsaratanana Airport"
"FMNL","Analalava Airport"
"FMNQ","Besalampy Airport"
"FMMI","Ivato International Airport"
"FMMT","Toamasina Airport"
"FMST","Toliara Airport"
"FMSD","Tolanaro Airport (Marillac Airport)"
"FMSG","Farafangana Airport"
"FMSN","Samangoky Airport"
"FMSV","Betioky Airport"
"FMMQ","Ilaka-Est Airport (Atsinanana Airport)"
"FMSM","Mananjary Airport"
"FMMS","Sainte Marie Airport"
"FMMV","Morondava Airport"
"","Ambatolahy Airport"
"FMSI","Ihosy Airport"
"FMSK","Manakara Airport"
"FMMN","Miandrivazo Airport"
"","Tabal Airport"
"","Utirik Airport"
"PKMJ","Marshall Islands International Airport (Amata Kabua Int'l)"
"","Bikini Atoll Airport"
"","Aur Airport"
"","Ine Airport"
"","Mejit Airport"
"","Rongelap Airport"
"","Likiep Airport"
"","Jaluit Airport"
"PKWA","Bucholz Army Airfield"
"","Majkin Airport"
"","Ujae Airport"
"","Ebadon Airstrip"
"","Wotje Airport"
"","Ebon Airport"
"","Namorik Airport (Namdrik Airport)"
"","Jabot Airport"
"","Elenak Airport"
"","Maloelap Airport"
"PKMA","Enewetak Auxiliary Airfield"
"","Loen Airport"
"","Wotho Airport"
"","Enejit Airport"
"","Kaben Airport"
"","Jeh Airport"
"","Tinak Airport"
"","Ailinglaplap Airok Airport"
"MLIP","Mili Airport"
"","Lae Airport"
"","Woja Airport"
"","Ailuk Airport"
"","Kili Airport"
"LWOH","Ohrid St. Paul the Apostle Airport"
"LWSK","Skopje Alexander the Great Airport"
"GAKA","Kenieba Airport"
"GATB","Timbuktu Airport"
"GABS","Bamako-Senou International Airport"
"GANK","Keibane Airport"
"GAKY","Kayes Airport (Dag-Dag Airport)"
"","Segou Airport"
"GAGO","Gao International Airport (Korogoussou Airport)"
"GAGM","Goundam Airport"
"GANR","Nioro Airport"
"GAKO","Koutiala Airport"
"GASK","Sikasso Airport"
"GAMB","Mopti Airport (Ambodedjo Airport)"
"GAYE","Yelimane Airport"
"VYAN","Ann Airport"
"VYTL","Tachilek Airport"
"VYNT","Namtu Airport"
"VYMY","Monywa Airport"
"VYNS","Nansang Airport"
"VYMO","Momeik Airport"
"VYBG","Nyaung U Airport"
"VYBP","Bokpyin Airport"
"VYNT","Naypyidaw Airport"
"VYHN","Tilin Airport"
"VYGW","Gwa Airport"
"VYKP","Kyaukpyu Airport"
"VYYY","Yangon International Airport"
"VYMS","Monghsat Airport"
"VYMW","Magway Airport"
"VYKU","Kyauktu Airport"
"VYMK","Myitkyina Airport"
"VYMT","Mong Ton Airport"
"VYMN","Manaung Airport"
"VYME","Myeik Airport"
"VYKT","Kawthaung Airport"
"VYHL","Homalin Airport"
"VYDW","Dawei Airport"
"VYLS","Lashio Airport"
"VYKI","Khamti Airport"
"VYKL","Kalaymyo Airport (Kalemyo Airport)"
"VBHD","Hinthada Airport"
"VYBM","Bhamo Airport"
"VYYE","Ye Airport"
"VYPA","Hpa-An Airport"
"VYMM","Mawlamyaing Airport"
"VYLK","Loikaw Airport"
"VYPP","Papun Airport"
"VYKG","Kengtung Airport"
"VYHH","Heho Airport"
"VYPN","Pathein Airport"
"VYPK","Pauk Airport"
"VYPU","Pakokku Airport"
"VYTD","Thandwe Airport"
"VYSW","Sittwe Airport"
"VYCZ","Mandalay Chanmyathazi Airport"
"VYMD","Mandalay International Airport"
"VYGG","Gangaw Airport"
"VYPT","Putao Airport"
"VYPY","Pyay Airport"
"","Xinbarag Youqi Baogede Airport"
"ZMUB","Chinggis Khaan International Airport"
"ZMBR","Bulagtai Airport"
"ZMBU","Baruun-Urt Airport"
"ZMHU","Khujirt Airport"
"ZMAH","Arvaikheer Airport"
"ZMDZ","Dalanzadgad Airport"
"ZMKD","Khovd Airport"
"ZMTG","Tsetserleg Airport"
"ZMUG","Ulaangom Airport"
"ZMCD","Choibalsan Airport"
"ZMBS","Bulgan Airport"
"ZMBH","Bayankhongor Airport"
"ZMAT","Altai Airport"
"ZMBN","Bulgan Airport"
"ZMHG","Khatgal Airport"
"ZMHH","Kharkhorin Airport"
"ZMUH","Ondorkhaan Airport"
"ZMDN","Donoi Airport"
"ZMTL","Tosontsengel Airport"
"","Erdenet Airport"
"ZMMG","Mandalgovi Airport"
"ZMMN","Moron Airport"
"ZMUL","Olgii Airport"
"ZMCK","Chinggis Khaan International Airport"
"PGRO","Rota International Airport"
"PGSN","Saipan International Airport (Francisco C. Ada Int'l)"
"PGWT","Tinian International Airport (West Tinian Airport)"
"TFFF","Martinique Aime Cesaire International Airport"
"GQNU","M'Bout Airport"
"GQPZ","Tazadit Airport"
"GQNO","Nouakchott-Oumtounsy International Airport"
"GQNL","Letfotar Airport"
"GQNF","Kiffa Airport"
"","Aleg Airport"
"GQNB","Boutilimit Airport"
"GQNA","Aioun el Atrouss Airport"
"GQPA","Atar International Airport"
"GQNC","Tichitt Airport"
"GQNT","Tamchakett Airport"
"GQNI","Nema Airport"
"GQNK","Kaedi Airport"
"GQND","Tidjikja Airport"
"","Chinguetti Airport"
"GQPF","Fderik Airport"
"GQNJ","Akjoujt Airport"
"GQNH","Timbedra Airport"
"GQNE","Abbaye Airport"
"GQNS","Selibaby Airport"
"GQPP","Nouadhibou International Airport"
"TRPG","John A. Osborne Airport"
"LMML","Malta International Airport (Luqa Airport)"
"FIMR","Sir Gaetan Duval Airport"
"FIMP","Sir Seewoosagur Ramgoolam International Airport"
"","Maafaru International Airport"
"VRNT","Thimarafushi Airport"
"VRMK","Kadhdhoo Airport"
"VRMF","Fuvahmulah Airport"
"VRMD","Dharavandhoo Airport"
"VRMM","Velana International Airport"
"","Funadhoo Airport"
"VREI","Ifuru Airport"
"VRMT","Kaadedhdhoo Airport"
"VRMV","Villa International Airport"
"VRMG","Gan International Airport"
"VRMO","Kooddoo Airport"
"VRMH","Hanimaadhoo International Airport"
"","Mvuu Camp Airport"
"FWKA","Karonga Airport"
"FWCL","Chileka International Airport"
"FWKI","Lilongwe International Airport (Kamuzu Int'l)"
"FWKG","Kasungu Airport"
"FWMY","Monkey Bay Airport"
"FWDW","Dwanga Airport (Dwangwa Airport)"
"FWMG","Mangochi Airport"
"FWCM","Club Makokola Airport"
"FWSM","Salima Airport"
"FWUU","Mzuzu Airport"
"FWLK","Likoma Airport"
"FWCD","Chelinda Airport"
"MMIA","Licenciado Miguel de la Madrid Airport"
"MMCO","Copalar Airport"
"MMCS","Abraham Gonzalez International Airport"
"","Playa del Carmen Airport"
"MMTJ","Tijuana International Airport"
"MMPL","Punta Colorada Airstrip"
"MMMM","General Francisco J. Mujica International Airport"
"MMOX","Xoxocotlan International Air"
"MMTG","Angel Albino Corzo International Airport"
"MMSF","San Felipe International Airport"
"MMQT","Queretaro Intercontinental Airport"
"MMSP","Ponciano Arriaga International Airport"
"","Punta Chivato Airstrip"
"MMHO","General Ignacio Pesqueira Garcia International Airport"
"MMGL","Guadalajara International Airport (Miguel Hidalgo y Costilla Int'l)"
"MMAA","General Juan N. Alvarez International Airport"
"","San Ignacio Airfield"
"MMCC","Ciudad Acuna International Airport"
"MMHC","Tehuacan Airport"
"MMCN","Ciudad Obregon International Airport"
"MMIM","Isla Mujeres Airport"
"MMMT","Minatitlan/Coatzacoalcos International Airport"
"MMTP","Tapachula International Airport"
"MMMY","General Mariano Escobedo International Airport"
"MMLT","Loreto International Airport"
"MMMG","Mulege Airstrip"
"MMIO","Plan de Guadalupe International Airport"
"MMPG","Piedras Negras International Airport"
"MMSZ","Salina Cruz Airport"
"MMPE","Puerto Penasco International Airport"
"MMVA","Carlos Rovirosa Perez International Airport"
"MMML","General Rodolfo Sanchez Taboada International Airport"
"","Villa Constitucion Airport"
"","Bahia de los Angeles Airport"
"MMTM","General Francisco Javier Mina International Airport"
"MMPQ","Palenque International Airport"
"MMMV","Venustiano Carranza International Airport"
"MMVR","General Heriberto Jara International Airport"
"MMGR","Guerrero Negro Airport"
"MMSD","Los Cabos International Airport"
"","Francisco Primo de Verdad National Airport"
"MMMZ","General Rafael Buelna International Airport"
"","Alamos Airport"
"MMZM","Zamora National Airport"
"MMPN","Ignacio Lopez Rayon International Airport"
"MMZO","Playa de Oro International Airport"
"MMAS","Lic. Jesus Teran Peredo International Airport"
"MMGM","General Jose Maria Yanez International Airport"
"MMLM","Valle del Fuerte Federal International Airport"
"MMRX","General Lucio Blanco International Airport"
"","Pablo L. Sidar Airport"
"MMZH","Ixtapa-Zihuatanejo International Airport"
"MMCG","Nuevo Casas Grandes Municipal Airport"
"MMDO","General Guadalupe Victoria International Airport"
"MMLC","Lazaro Cardenas Airport"
"MMJC","Jorge Jimenez Cantu National Airport"
"MMES","Ensenada Airport"
"MMCZ","Cozumel International Airport"
"","San Luis Rio Colorado Airport"
"MX86","Punta Abreojos Airstrip"
"","Cupul National Airport"
"","San Quintin Military Airstrip"
"MMLP","Manuel Marquez de Leon International Airport"
"MMCT","Chichen Itza International Airport"
"","Tulum Airport"
"MMLO","Del Bajio International Airport (Guanajuato Int'l Airport)"
"MMZC","General Leobardo C. Ruiz International Airport"
"MMCY","Captain Rogelio Castillo National Airport"
"MMPA","El Tajin National Airport"
"","Palo Verde Airport"
"MMPB","Hermanos Serdan International Airport"
"MMNL","Quetzalcoatl International Airport"
"MMBT","Bahias de Huatulco International Airport"
"MMSM","Felipe Ángeles International Airport"
"MMTN","Tamuin National Airport"
"MMCV","General Pedro J. Mendez International Airport"
"MMCB","General Mariano Matamoros Airport"
"MMCU","General Roberto Fierro Villalobos International Airport"
"MMUN","Cancun International Airport"
"MMMA","General Servando Canales International Airport"
"MMNG","Nogales International Airport"
"MMTC","Francisco Sarabia International Airport"
"MMCL","Bachigualato Federal International Airport"
"","Ciudad Constitucion Airport"
"MMCM","Chetumal International Airport"
"MMEP","Amado Nervo International Airport"
"MMMX","Mexico City International Airport"
"MMJA","El Lencero Airport"
"MMPR","Licenciado Gustavo Diaz Ordaz International Airport"
"MMCP","Ing. Alberto Acuna Ongay International Airport"
"MMIT","Ixtepec Airport"
"MMAN","Del Norte International Airport"
"MMMD","Manuel Crescencio Rejon International Airport"
"MMCA","Cananea National Airport"
"MMTO","Licenciado Adolfo Lopez Mateos International Airport"
"MMPS","Puerto Escondido International Airport"
"MMDM","Ciudad Mante National Airport"
"MMCE","Ciudad del Carmen International Airport"
"WMKP","Penang International Airport"
"WBGD","Long Semado Airport"
"WBKA","Semporna Airport"
"WBGI","Long Seridan Airport"
"WBKL","Labuan Airport"
"","Tanjung Pelepas Port Airport"
"WMSA","Sultan Abdul Aziz Shah Airport"
"WBGB","Bintulu Airport"
"WBMU","Mulu Airport"
"WBGK","Mukah Airport"
"WBTM","Tanjung Manis Airport"
"WMKA","Sultan Abdul Halim Airport"
"WBGN","Sematan Airport"
"","Pasir Gudang Port Airport"
"WMBI","Taiping Airport"
"WMAU","Mersing Airport"
"WMKK","Kuala Lumpur International Airport"
"WMKE","Kerteh Airport"
"WBKW","Tawau Airport"
"WMKM","Malacca International Airport"
"WMKI","Sultan Azlan Shah Airport"
"","Long Banga Airport"
"WBKN","Long Pasia Airport"
"","Layang-Layang Airport (Swallow Reef Airport)"
"WBGZ","Bario Airport"
"WMKN","Sultan Mahmud Airport"
"WMKB","RMAF Butterworth"
"WBKS","Sandakan Airport"
"WMPR","Redang Airport"
"WMAN","Sungai Tiang Airport"
"WBGW","Lawas Airport"
"WMBA","Sitiawan Airport"
"WBKD","Lahad Datu Airport"
"WBKM","Tommanggong Airport"
"WMKC","Sultan Ismail Petra Airport"
"WBGU","Long Sukang Airport"
"WBGR","Miri Airport"
"WBGG","Kuching International Airport"
"","Sipitang Airstrip"
"WMBT","Tioman Airport"
"WBKR","Ranau Airport"
"WBGF","Long Lellang Airport"
"WMKJ","Senai International Airport"
"WBKO","Sepulot Airport"
"WMKL","Langkawi International Airport"
"WBGP","Kapit Airport"
"WBGC","Belaga Airport"
"WBGL","Long Akah Airport"
"WBGJ","Limbang Airport"
"WMPA","Pangkor Airport"
"WBGQ","Bakelalan Airport"
"WBKP","Pamol Airport"
"WBKK","Kota Kinabalu International Airport"
"WMKD","Sultan Haji Ahmad Shah Airport (RMAF Kuantan)"
"WBGS","Sibu Airport"
"WBKG","Keningau Airport"
"WBGM","Marudi Airport"
"WBKH","Sahabat Airport"
"WBKT","Kudat Airport"
"WBKE","Telupid Airport"
"WBGY","Simanggang Airport"
"FQPO","Ponta do Ouro Airport"
"","Marromeu Airport"
"","Moma Airport"
"","Chinde Airport"
"","Maganja da Costa Airport"
"","Alto Molocue Airport"
"","Santa Carolina Airport"
"FQQL","Quelimane Airport"
"","Nangade Airport"
"","Indigo Bay Lodge Airport"
"FQCB","Cuamba Airport"
"","Inhaminga Airport"
"FQCH","Chimoio Airport"
"FQNP","Nampula Airport"
"","Palma Airport"
"","Montepuez Airport"
"FQVL","Vilankulo Airport"
"","Magaruque Airport"
"FQLC","Lichinga Airport"
"","Chokwe Airport"
"","Luabo Airport"
"","Pebane Airport"
"FQMP","Mocimboa da Praia Air"
"FQPB","Pemba Airport"
"","Benguerra Island Airport"
"FQIN","Inhambane Airport"
"","Bazaruto Island Airport"
"FQMD","Mueda Airport"
"","Dugong Beach Lodge Airstrip"
"FQXA","Xai-Xai Airport"
"FQIB","Ibo Island Airport"
"FQLU","Lumbo Airport"
"","Gurue Airport"
"FQBR","Beira Airport"
"FQNC","Nacala Airport"
"FQIA","Inhaca Airport"
"FQTT","Chingozi Airport"
"","Caia Airport"
"FQMA","Maputo International Airport"
"FQAG","Angoche Airport"
"","Bajone Airport"
"FYNG","Ongava Airstrip"
"FYWB","Walvis Bay Airport"
"FYTE","Terrace Bay Airport"
"FYAA","Ai-Ais Airport"
"FYSS","Sesriem Airport"
"FYOA","Ondangwa Airport"
"FYMO","Mokuti Lodge Airport"
"FYKB","Karasburg Airport"
"FYMG","Midgard Airport"
"FYNA","Namutoni Airport"
"FYSA","Skorpion Mine Airport"
"FYWH","Hosea Kutako International Airport"
"FYOG","Oranjemund Airport"
"","Bagani Airport"
"FYHI","Halali Airport"
"FYGB","Gobabis Airport"
"FYME","Mount Etjo Airport"
"FYOP","Opuwa Airport"
"FYWE","Eros Airport"
"FYOS","Oshakati Airport"
"FYOE","Omega Airport"
"FYKT","Keetmanshoop Airport"
"FYAR","Arandis Airport"
"FYOO","Okaukuejo Airport"
"FYOW","Otjiwarongo Airport"
"FYSM","Swakopmund Airport"
"FYLS","Lianshulu Airport"
"FYTM","Tsumeb Airport"
"FYGF","Grootfontein Air Base"
"FYLZ","Luderitz Airport"
"FYRU","Rundu Airport"
"FYKM","Katima Mulilo Airport (Mpacha Airport)"
"NWWQ","Mueo/Nickel Airport"
"NWWC","Ile Art - Waala Airport"
"NWWD","Kone Airport"
"NWWE","Ile des Pins Airport"
"NWWK","Koumac Airport"
"NWWP","Malabou Airport"
"NWWU","Touho Airport"
"NWWA","Tiga Airport"
"NWWM","Noumea Magenta Airport"
"NWWW","La Tontouta International Airport"
"NWWR","Mare Airport"
"NWWV","Ouvea Airport (Ouloup Airp"
"NWWL","Ouanaham Airport"
"DRZR","Zinder Airport"
"DRRN","Diori Hamani International Airport"
"DRZA","Mano Dayak International Airport"
"DRRT","Tahoua Airport"
"DRRM","Maradi Airport"
"DRZL","Arlit Airport"
"YSNF","Norfolk Island Airport"
"","Bauchi State Airport"
"DNSU","Warri Airport (Osubi Airport)"
"","Katsina Airport"
"DNMM","Murtala Muhammed International Airport"
"DNAK","Akure Airport"
"DNAI","Akwa Ibom International Airport"
"DNZA","Zaria Airport"
"DNSO","Sadiq Abubakar III International Airport"
"DNYO","Yola Airport"
"DNBE","Benin Airport"
"DNGO","Gombe Lawanti International Airport"
"DNCA","Margaret Ekpo International Airport"
"DNKA","Kaduna Airport"
"DNEN","Akanu Ibiam International Airport"
"DNAA","Nnamdi Azikiwe International Airport"
"DNPO","Port Harcourt International Airport"
"DNAS","Asaba International Airport"
"DNMN","Minna Airport"
"DNMA","Maiduguri International Airport"
"DNIL","Ilorin International Airport"
"","Port Harcourt City Airport"
"DNIM","Sam Mbakwe Airport"
"DNKN","Mallam Aminu Kano International Airport"
"DNMK","Makurdi Airport"
"DNJO","Yakubu Gowon Airport"
"DNIB","Ibadan Airport"
"MNBZ","San Pedro Airport"
"MNSC","San Carlos Airport"
"MNBL","Bluefields Airport"
"MNWP","Waspam Airport"
"MNPC","Puerto Cabezas Airport"
"MNLP","Costa Esmeralda Airport"
"MNNG","Nueva Guinea Airport"
"MNCI","Corn Island Airport"
"MNSI","Siuna Airport"
"MNRT","Rosita Airport"
"MNMG","Augusto C. Sandino International Airport"
"EHLE","Lelystad Airport"
"EHEH","Eindhoven Airport"
"EHWO","Woensdrecht Air Base"
"EHVK","Volkel Air Base"
"EHSB","Soesterberg Air Base"
"EHGG","Groningen Airport Eelde"
"EHLW","Leeuwarden Air Base"
"EHRD","Rotterdam The Hague Airport"
"EHAM","Amsterdam Airport Schiphol"
"EHBK","Maastricht Aachen Airport"
"EHGR","Gilze-Rijen Air Base"
"EHKD","De Kooy Airfield"
"EHTW","Enschede Airport Twente"
"ENHD","Haugesund Airport"
"ENHV","Honningsvag Airport"
"ENML","Molde Airport"
"ENRO","Roros Airport"
"ENRY","Moss Airport"
"ENBL","Forde Airport"
"ENRA","Mo i Rana Airport"
"ENVD","Vadso Airport"
"ENTO","Sandefjord Airport"
"ENSN","Skien Airport"
"ENVA","Trondheim Airport"
"ENKB","Kristiansund Airport"
"ENSH","Svolvaer Airport"
"ENAL","Alesund Airport"
"ENTC","Tromse Airport"
"ENNM","Namsos Airport"
"ENZV","Stavanger Airport"
