"icao","airport"
"YHAY","Hay Airport"
"YDLT","Delta Downs Airport"
"YCNK","Cessnock Airport"
"YRRB","Roper Bar Airport"
"YBRK","Rockhampton Airport"
"YROB","Robinhood Airport"
"YMIR","Miranda Downs Airport"
"YLRE","Longreach Airport"
"YREN","Renmark Airport"
"YROM","Roma Airport"
"YMWT","Moolawatana Airport"
"","Rosella Plains Airport"
"YABI","Abingdon Airport"
"YAPH","Alpha Airport"
"YSRI","RAAF Base Richmond"
"","Rokeby Airport"
"YIDK","Indulkana Airport"
"YMRW","Morawa Airport"
"YNPE","Northern Peninsula Airport"
"YIFY","Iffley Airport"
"YIFL","Innisfail Airport"
"YIGM","Ingham Airport"
"YBHI","Broken Hill Airport"
"YNWN","Newman Airport"
"YBTH","Bathurst Airport"
"","Brighton Downs Airport"
"","Clifton Hills Airport"
"YCFD","Camfield Airport"
"YMAY","Albury Airport"
"YMGV","Musgrave Airport"
"YRYH","Roy Hill Station Airport"
"YIKM","Inkerman Airport"
"YINJ","Injune Airport"
"","Carpentaria Downs Airport"
"","American River Airport"
"","Drumduff Airport"
"YCFS","Coffs Harbour Airport"
"YRMD","Richmond Airport"
"YINN","Innamincka Airport"
"YROE","Roebourne Airport"
"YDGA","Dalgaranga Airport"
"YMDG","Mudgee Airport"
"YORB","Orbost Airport"
"YROI","Robinvale Airport"
"YMUK","Mulka Airport"
"","Macksville Airport"
"YLHR","Lockhart River Airport"
"YYMI","Yam Island Airport"
"","Bulimba Airport"
"YRNG","Ramingining Airport"
"YBMA","Mount Isa Airport"
"YISF","Isisford Airport"
"YMIN","Minlaton Airport"
"YIVL","Inverell Airport"
"","Yandicoogina Airport"
"","Billiluna Airport"
"YMCO","Mallacoota Airport"
"YINW","Inverway Airport"
"YMLT","Launceston Airport"
"YPMH","Prominent Hill Airport"
"YDRH","Durham Downs Airport"
"YPAD","Adelaide Airport"
"YJAB","Jabiru Airport"
"YPJT","Jandakot Airport"
"YAMK","Andamooka Airport"
"YLIS","Lismore Airport"
"YCAG","Caiguna Airport"
"YJLC","Julia Creek Airport"
"","Latrobe Airport"
"YMUC","Muccan Station Airport"
"YSGW","South Galway Airport"
"YMUP","Mulga Park Airport"
"YPAG","Port Augusta Airport"
"YPOD","Portland Airport"
"YPDO","Pardoo Airport"
"YPMQ","Port Macquarie Airport"
"YBPN","Whitsunday Coast Airport"
"YPIR","Port Pirie Airport"
"YJDA","Jundah Airport"
"YJNB","Jurien Bay Airport"
"YKBR","Kalbarri Airport"
"","Kirkimbie Airport"
"","Kimberley Downs Airport"
"YLHS","Lyndhurst Airport"
"YKCA","Kings Canyon Airport"
"YPAM","Palm Island Airport"
"YKBY","Streaky Bay Airport"
"YCSV","Collinsville Airport"
"YPLC","Port Lincoln Airport"
"YKCS","Kings Creek Station Airport"
"YKPT","Port Keats Airfield"
"YLOV","Lotus Vale Station Airport"
"YKBL","Kambalda Airport"
"","Kamaran Downs Airport"
"YPKS","Parkes Airport"
"YPPD","Port Hedland International Airport"
"","Mount Full Stop Airport"
"YBWN","Bowen Airport"
"YFDF","Fortescue Dave Forrest Airport"
"YMIT","Mitchell Airport"
"YMND","Maitland Airport"
"","Biloela Airport"
"YKKG","Kalkgurung Airport"
"YKSC","Kingscote Airport"
"YBAW","Barkly Downs Airport"
"YBCK","Blackall Airport"
"YPKG","Kalgoorlie-Boulder Airport"
"YCOI","Collie Airport"
"","Penong Airport"
"YDKI","Dunk Island Airport"
"","Kulgera Airport"
"YPPH","Perth Airport"
"","Peppimenarti Airport"
"YDVR","Docker River Airport"
"YKRY","Kingaroy Airport"
"YPSH","Penneshaw Airport"
"","Parndana Airport"
"YPDI","Pandie Pandie Airport"
"YMSF","Mount Sandford Station Airport"
"YPBO","Paraburdoo Airport"
"","Agnew Airport"
"YKLB","Koolburra Airport"
"YOUY","Ouyen Airport"
"YLRS","New Laura Airport"
"YLRA","Laura Airport"
"YDLK","Dulkaninna Airport"
"YOLA","Colac Airport"
"YMNY","Morney Airport"
"","Orientos Airport"
"YMGR","Margaret River Station Airport"
"YBLA","Benalla Airport"
"YKML","Kamileroi Airport"
"YDLV","Delissaville Airport"
"YOSB","Osborne Mine Airport"
"YKNG","Katanning Airport"
"YBLL","Bollon Airport"
"YBTR","Blackwater Airport"
"YCWA","Coondewanna Airport"
"YKII","King Island Airport"
"YPKU","East Kimberley Regional Airport"
"YDMG","Doomadgee Airport"
"","Orpheus Island Resort Waterport"
"YYOR","Yorketown Airport"
"YLTN","Laverton Airport"
"YYAL","Yalgoo Airport"
"YKLA","Koolatah Airport"
"YOEN","Oenpelli Airport"
"YMOR","Moree Airport"
"YBRM","Broome International Airport"
"YMOO","Mooraberree Airport"
"YCOM","Cooma-Snowy Mountains Airport"
"","Moroak Airport"
"YKPR","Kalpowar Airport"
"YBCG","Gold Coast Airport (Coolangatta Airport)"
"YLAH","Lawn Hill Airport"
"YKMP","Kempsey Airport"
"YDBR","Dunbar Airport"
"YCKI","Croker Island Airport"
"YOLW","Onslow Airport"
"","Doongan Airport"
"YBPI","Brampton Island Airport"
"YALA","Marla Airport"
"","Miners Lake Airport"
"YMNK","Monkira Airport"
"YMTI","Mornington Island Airport"
"YMBA","Mareeba Airfield"
"YWYM","Wyndham Airport"
"YMGT","Margaret River Airport"
"YWHA","Whyalla Airport"
"","Denham Airport"
"YKAR","Karara Airport"
"YKER","Kerang Airport"
"YWWL","West Wyalong Airport"
"YCHK","Graeme Rowley Aerodrome"
"YDLQ","Deniliquin Airport"
"YKMB","Karumba Airport"
"YWWI","Woodie Woodie Airport"
"YMIA","Mildura Airport"
"","Kurundi Airport"
"YBBN","Brisbane Airport"
"YOLD","Olympic Dam Airport"
"YMCR","Manners Creek Airport"
"YMQA","Marqua Airport"
"YBOK","Oakey Army Aviation Centre"
"YBNA","Ballina Byron Gateway Airport"
"YCAH","Coolah Airport"
"YYKI","Yorke Island Airport"
"YSPV","Springvale Airport"
"YORC","Orchid Beach Airport"
"YWLU","Wiluna Airport"
"YMMI","Murrin Murrin Airport"
"YPKA","Karratha Airport"
"YMDI","Mandora Station Airport"
"YMGB","Milingimbi Airport"
"YPTN","RAAF Base Tindal"
"YORV","Ord River Airport"
"YABA","Albany Airport"
"YWUD","Wudinna Airport"
"","Lady Elliot Island Airport"
"YCOD","Cordillo Downs Airport"
"YKUB","Kubin Airport"
"YOOD","Oodnadatta Airport"
"YDRA","Dongara Airport"
"YBGD","Boolgeeda Airport"
"","Oban Airport"
"YKOW","Kowanyama Airport"
"YCMU","Cunnamulla Airport"
"YORG","Orange Airport"
"YBWW","Toowoomba Wellcamp Airport"
"YMRB","Moranbah Airport"
"YCTM","Cootamundra Airport"
"YDPO","Devonport Airport"
"YLZI","Lizard Island Airport"
"YOOM","Moomba Airport"
"YNYN","Nyngan Airport"
"YSHR","Whitsunday Airport"
"YYLR","Yeelirrie Airport"
"YYTA","Yalata Airport"
"YDBY","Derby Airport"
"YDOR","Dorunda Airport"
"YBRL","Borroloola Airport"
"YCMW","Camooweal Airport"
"YWWG","Warrawagine Airport"
"YWDG","Windarling Airport"
"YNUB","Nullabor Motel Airport"
"YNUM","Numbulwar Airport"
"YCMT","Clermont Airport"
"YAMT","Amata Airport"
"YNTN","Normanton Airport"
"YWLM","Newcastle Airport / RAAF Base Williamtown"
"","Ammaroo Airport"
"YDBI","Dirranbandi Airport"
"YMDS","MacDonald Downs Airport"
"","Mount Valley Airport"
"YMTO","Monto Airport"
"YNSH","Noosa Airport"
"YDRI","Durrie Airport"
"YSCO","Scone Airport"
"YWMP","Wrotham Park Airport"
"YNSM","Norseman Airport"
"","Newry Airport"
"YPDN","Darwin International Airport"
"YCNM","Coonamble Airport"
"YMGD","Maningrida Airport"
"YBLN","Busselton Regional Airport"
"YCCT","Coconut Island Airport"
"YDRD","Drysdale River Airport"
"","Palm Beach Water Airport"
"YMUG","Mungeranie Airport"
"YNRG","Narrogin Airport"
"YNAR","Narrandera Airport"
"YBOU","Boulia Airport"
"","Angus Downs Airport"
"YBLC","Balcanoona Airport"
"YWDL","Wondoola Airport"
"YCCY","Cloncurry Airport"
"YWOL","Illawarra Regional Airport"
"YMBL","Marble Bar Airport"
"","Napperby Airport"
"YWDH","Windorah Airport"
"YLIN","Lindeman Island Airport"
"YBGO","Balgo Hill Airport"
"YLHI","Lord Howe Island Airport"
"YSNW","NAS Nowra"
"YPOK","Porepunkah Airfield"
"","Windarra Airport"
"YBCS","Cairns Airport"
"YMYB","Maryborough Airport"
"YMMU","Middlemount Airport"
"","Lansdowne Airport"
"","Bright Airport"
"YBKE","Bourke Airport"
"YMNE","Mount Keith Airport"
"","Mount Barnett Airport"
"YPLM","RAAF Learmonth (Learmonth Airport)"
"YMOG","Mount Magnet Airport"
"YLEV","Lake Evella Airport"
"YWBL","Warrnambool Airport"
"YANG","West Angelas Airport"
"","Coolibah Airport"
"YNAP","Nappa Merrie Airport"
"YBTI","Bathurst Island Airport"
"YWTL","Waterloo Airport"
"YLST","Leinster Airport"
"YMEU","Merluna Airport"
"YWOR","Wollogorang Airport"
"YMLS","Miles Airport"
"YWCH","Walcha Airport"
"YCBB","Coonabarabran Airport"
"","New Moon Airport"
"YMMB","Moorabbin Airport"
"YWAL","Wallal Airport"
"","Nicholson Airport"
"YMCT","Millicent Airport"
"YNUL","Nullagine Airport"
"YLFD","Lakefield Airport"
"YWKB","Warracknabeal Airport"
"YWIT","Wittenoom Airport"
"YBNS","Bairnsdale Airport"
"YWCA","Wilcannia Airport"
"YWTN","Winton Airport"
"YDNI","Darnley Island Airport"
"","Lake Gregory Airport"
"YBMK","Mackay Airport"
"YCWY","Coolawanyah Station Airport"
"","Noonkanbah Airport"
"YLEC","Leigh Creek Airport"
"YARM","Armidale Airport"
"YMVG","Mount Cavenagh Airport"
"YCNF","Nifty Airport"
"YCBP","Coober Pedy Airport"
"YLRD","Lightning Ridge Airport"
"","Limbunya Airport"
"YYNG","Young Airport"
"","Welshpool Airport"
"YWGT","Wangaratta Airport"
"YARA","Ararat Airport"
"YSAN","Sandstone Airport"
"YDPD","Davenport Downs Airport"
"","Brunette Downs Airport"
"","Daly River Airport"
"YMEK","Meekatharra Airport"
"YLND","Lakeland Downs Airport"
"YWLG","Walgett Airport"
"YCGO","Chillagoe Airport"
"YSWG","Wagga Wagga Airport"
"YWWA","Wee Waa Airport"
"YBWP","Weipa Airport"
"YDIX","Dixie Airport"
"","Lissadell Airport"
"","Cape Flattery Airport"
"YBAS","Alice Springs Airport"
"","Linda Downs Airport"
"YMHU","McArthur River Mine Airport"
"YDYS","Dysart Airport"
"YNHS","Nambucca Heads Airport"
"YBSU","Sunshine Coast Airport"
"YCBR","Collarenebri Airport"
"YYND","Yuendumu Airport"
"YLKN","Lake Nash Airport"
"","Diamantina Lakes Airport"
"YWND","Wondai Airport"
"YLEO","Leonora Airport"
"YBEO","Betoota Airport"
"","Cherrabah Airport"
"YNRC","Naracoorte Airport"
"","Coorabie Airport"
"YBKT","Burketown Airport"
"","Daly Waters Airport"
"YMJM","Manjimup Airport"
"YNBR","Narrabri Airport"
"YLOR","Lorraine Airport"
"YWCK","Warwick Airport"
"YWAV","Wave Hill Airport"
"YLOK","Lock Airport"
"","Wauchope Airport"
"YSHK","Shark Bay Airport"
"YMTG","Mount Gambier Airport"
"","Mainoru Airport"
"YMYR","Myroodah Airport"
"","Mittiebah Airport"
"","Waverney Airport"
"YMUI","Murray Island Airport"
"YMRY","Moruya Airport"
"YAGD","Augustus Downs Airport"
"","Carlton Hill Airport"
"YECH","Echuca Airport"
"","Erldunda Airport"
"YMEN","Essendon Airport"
"YPMP","Edward River Airport"
"YVRS","Vanrook Airport"
"YMPA","Minnipa Airport"
"YMER","Merimbula Airport"
"YBUN","Bunbury Airport"
"","Cresswell Downs Airport"
"","Einasleigh Airport"
"YAUR","Aurukun Airport"
"","Elkedra Airport"
"YELD","Elcho Island Airport"
"YMIP","Mitchell Plateau Airport"
"YMML","Melbourne Airport"
"YVRD","Victoria River Downs Airport"
"YCAS","Casino Airport"
"YAUV","Auvergne Airport"
"YEML","Emerald Airport"
"","Nutwood Downs Airport"
"YBDV","Birdsville Airport"
"YMTB","Muttaburra Airport"
"YUSL","Useless Loop Airport"
"YEEB","Eneabba Airport"
"YESP","Esperance Airport"
"YMAV","Avalon Airport"
"YRKD","Rockhampton Downs Airport"
"YERN","Pukatja Airport (Ernabella Airport)"
"YPWR","RAAF Woomera Airfield"
"YMOT","Moreton Airport"
"YESE","Elrose Airport"
"","Batavia Downs Airport"
"YQLP","Quilpie Airport"
"","Alton Downs Airport"
"","Austral Downs Airport"
"YQDI","Quirindi Airport"
"YHOT","Mount Hotham Airport"
"YAMC","Aramac Airport"
"YBYS","Beverley Springs Airport"
"YQNS","Queenstown Airport"
"YBWX","Barrow Island Airport"
"YUDA","Undara Airport"
"YKAL","Kalumburu Airport"
"YEDA","Etadunna Airport"
"YALX","Alexandria Homestead Airport"
"YMAA","Mabuiag Island Airport"
"YMHO","Mount House Airport"
"YECL","Eucla Airport"
"","Eva Downs Airport"
"YBCV","Charleville Airport"
"YEVD","Evans Head Memorial Aerodrome"
"YCKN","Cooktown Airport"
"YTMY","Tobermorey Airport"
"YTHY","Thylungra Airport"
"YTIB","Tibooburra Airport"
"YBRW","Brewarrina Airport"
"","Alroy Downs Airport"
"YWYY","Burnie Airport"
"YSBK","Bankstown Airport"
"","Anthony Lagoon Airport"
"","Cattle Creek Airport"
"YEXM","Exmouth Airport"
"","Tanbar Airport"
"YAYE","Ayers Rock Airport"
"YAYR","Ayr Airport"
"","Torwood Airport"
"","Tewantin Airport"
"YBEB","Bellburn Airstrip"
"YBDG","Bendigo Airport"
"YTWB","Toowoomba City Aerodrome"
"YTMU","Tumut Airport"
"YTST","Truscott-Mungalalu Airport"
"YBTL","Townsville Airport"
"YTRE","Taree Airport"
"YTEE","Trepell Airport"
"YCDR","Caloundra Airport"
"YFNE","Finke Airport"
"YTMP","Tom Price Airport"
"YCUA","Cudal Airport"
"YFTZ","Fitzroy Crossing Airport"
"YFLI","Flinders Island Airport"
"YFIL","Finley Airport"
"YSTW","Tamworth Regional Airport"
"YFRT","Forrest Airport"
"YFST","Forster (Wallis Island) Airport"
"YFBS","Forbes Airport"
"YTKY","Turkey Creek Airport"
"","Fossil Downs Airport"
"YCOE","Coen Airport"
"YFLO","Flora Valley Airport"
"YFRV","Forrest River Airport"
"YTNG","Thangool Airport"
"YGAY","Gayndah Airport"
"YLTV","Latrobe Regional Airport"
"YCUE","Cue Airport"
"YGBI","South Goulburn Island Airport"
"YBRY","Barimunya Airport"
"YCEE","Cleve Airport"
"YGAM","Gamboola Airport"
"YTEM","Temora Airport"
"YGIB","Gibb River Airport"
"YGIA","Ginbata Airport"
"YTEF","Telfer Airport"
"YTDR","Theodore Airport"
"","Baniyala Airport"
"YCAR","Carnarvon Airport"
"YTHD","Theda Station Airport"
"YLLE","Ballera Airport"
"YGDN","Gordon Downs Airport"
"YBRN","Balranald Airport"
"YTOC","Tocumwal Airport"
"YGTO","George Town Aerodrome"
"YTNK","Tennant Creek Airport"
"YGEL","Geraldton Airport"
"YGLG","Geelong Airport"
"","Grenfell Airport"
"YGTH","Griffith Airport"
"YCWI","Cowarie Airport"
"YTAB","Tableland Homestead Airport"
"","Bizant Airport"
"YCWR","Cowra Airport"
"YCOR","Corowa Airport"
"YGFN","Clarence Valley Regional Airport"
"YTBR","Timber Creek Airport"
"YGDS","Gregory Downs Airport"
"","Tarcoola Airport"
"YBOI","Boigu Island Airport"
"YTGA","Tangalooma Airport"
"YGKL","Great Keppel Island Airport"
"YBAR","Barcaldine Airport"
"","Bolwarra Airport"
"YWBS","Warraber Island Airport"
"YGLE","Glengyle Airport"
"YGLI","Glen Innes Airport"
"YGLO","Glenormiston Airport"
"YSSY","Sydney Airport (Kingsford Smith Airport)"
"YCRK","Christmas Creek Airport"
"YGLA","Gladstone Airport"
"YCHT","Charters Towers Airport"
"","Goldsworthy Airport"
"YWSL","West Sale Airport"
"YSWH","Swan Hill Airport"
"YSWL","Stawell Airport"
"","Bickerton Island Airport"
"","Shaw River Airport"
"YBUD","Bundaberg Airport"
"YGDI","Goondiwindi Airport"
"YBAU","Badu Island Airport"
"YCRG","Corryong Airport"
"YSMB","Somersby Airfield"
"YPGV","Gove Airport"
"YGON","Mount Gordon Airport"
"YGPT","Garden Point Airport"
"","St Pauls Mission Airport"
"YCBA","Cobar Airport"
"YSMR","Strathmore Airport"
"YSTI","Stephens Island Airport"
"YGSC","Gascoyne Junction Airport"
"YMGN","Mount Gunson Airport"
"","Silver Plains Airport"
"YGTE","Groote Eylandt Airport"
"","Sturt Creek Airport"
"","Cape Barren Island Airport"
"YTGT","The Granites Airport"
"YGTN","Georgetown Airport"
"","Dunwich Airport"
"YBDF","Bedford Downs Airport"
"YSRN","Strahan Airport"
"","Sandringham Station Airport"
"YGDH","Gunnedah Airport"
"YGLB","Goulburn Airport"
"YGNV","Greenvale Airport"
"","Beagle Bay Airport"
"YSCB","Canberra Airport"
"YSCR","Southern Cross Airport"
"YARG","Argyle Airport"
"YGYM","Gympie Airport"
"YHTL","Heathlands Airport"
"YCDO","Condobolin Airport"
"","Canobie Airport"
"YMHB","Hobart International Airport"
"YSPE","Stanthorpe Airport"
"YLMQ","Lake Macquarie Airport (Belmont Airport)"
"YHLC","Halls Creek Airport"
"YSNB","Snake Bay Airport"
"YSOL","Solomon Airport"
"YHUG","Hughenden Airport"
"YUNY","Cluny Airport"
"YBIE","Bedourie Airport"
"YHID","Horn Island Airport"
"YCCA","Chinchilla Airport"
"YHHY","Highbury Airport"
"YSGT","Singleton Airport"
"YHDY","Headingly Airport"
"","Bloomfield Airport"
"YSMI","Smithton Airport"
"YSMP","Smith Point Airport"
"YSHT","Shepparton Airport"
"YSPT","Southport Airport"
"YCWL","Cowell Airport"
"YHIL","Hillside Airport"
"YSTH","St Helens Airport"
"YHML","Hamilton Airport"
"YCOO","Cooinda Airport"
"","Helenvale Airport"
"YHMB","Hermannsburg Airport"
"","Springvale Airport (Western Australia)"
"YSHG","Shay Gap Airport"
"YSGE","St George Airport"
"YHOO","Hooker Creek Airport"
"","Hopevale Airport"
"YSPK","Spring Creek Airport"
"YSII","Saibai Island Airport"
"YHBY","Henbury Airport"
"YHSM","Horsham Airport"
"YBHM","Great Barrier Reef Airport"
"YHPN","Hopetoun Airport"
"YNRV","Ravensthorpe Airport"
"YCRY","Croydon Airport"
"YHBR","Humbert River Airport"
"YSDU","Dubbo City Regional Airport"
"YMYT","Merty Merty Airport"
"YSCN","Camden Airport"
"YRTI","Rottnest Island Airport"
"YRTP","Rutland Plains Airport"
"YTAA","Tara Airport"
"","Rose Bay Water Airport"
"YDAY","Dalby Airport"
"TNCA","Queen Beatrix International Airport"
"UBBL","Lankaran International Airport"
"UBBQ","Qabala International Airport"
"UBBY","Zaqatala International Airport"
"UBBG","Ganja International Airport"
"UBBN","Nakhchivan International Airport"
"UBEE","Yevlakh Airport"
"UBBB","Heydar Aliyev International Airport"
"LQBK","Banja Luka International Airport"
"LQMO","Mostar Airport"
"LQSA","Sarajevo International Airport"
"LQTZ","Tuzla International Airport"
"TBPB","Grantley Adams International Airport"
"TBPB","Grantley Adams International Airport"
"VGSY","Osmani International Airport"
"VGJR","Jessore Airport"
"VGEG","Shah Amanat International Airport"
